id,Moeda,Preço,1h,24h,7d,30d,Volume 24h,Capitalização de Mercado,FDV,Cap/FDV
3050.0,UNFK  $UNFK,$0.071957,0.4%,2.7%,9.6%,15.4%,"$13,08",$1.759.015,$1.759.015,1.0
3051.0,Octokn  OTK,"$0,004525",0.7%,5.8%,19.2%,20.5%,$108.066,$1.756.861,$5.447.529,0.32
3052.0,Media Licensing Token  MLT,"$0,01200",0.2%,2.8%,29.5%,83.4%,"$72.194,38",$1.756.181,$2.399.131,0.73
3053.0,Twin Protocol  TWIN,"$0,006670",1.1%,16.0%,2.6%,24.8%,"$47.235,30",$1.753.805,$6.669.781,0.26
3054.0,BVM  BVM,"$0,07061",0.9%,1.9%,12.3%,7.9%,"$31.945,81",$1.752.452,$7.042.704,0.25
3055.0,The Nation Token  NATO,$0.051751,0.1%,5.2%,4.8%,0.7%,$146.032,$1.750.754,$1.750.754,1.0
3057.0,Renta Network  RENTA,"$0,007105",1.3%,0.6%,5.7%,32.7%,"$54.618,13",$1.748.647,$7.108.344,0.25
3056.0,Grrr  GRRR,"$0,001751",5.5%,17.4%,17.9%,15.3%,$144.783,$1.747.333,$1.747.333,1.0
3058.0,DEUS Finance  DEUS,"$11,85",0.4%,2.3%,1.6%,28.1%,"$2.221,16",$1.746.845,$3.577.665,0.49
3060.0,Polygon Hermez Bridged USDC (Polygon zkEVM)  USDC,"$1,01",0.1%,0.4%,0.1%,0.3%,"$51.786,52",$1.745.021,$1.745.021,1.0
3059.0,Unifi Protocol DAO  UNFI,"$0,2212",0.3%,2.2%,9.8%,17.1%,$232.502,$1.744.871,$2.211.568,0.79
3061.0,Connect Financial  CNFI,"$0,06978",0.0%,1.7%,3.0%,68.8%,"$1.002,33",$1.744.600,$7.571.563,0.23
3062.0,Navio  NAV,"$0,02257",0.3%,1.6%,9.4%,25.0%,"$55.395,33",$1.739.599,$1.739.599,1.0
3063.0,Onooks  OOKS,"$0,1550",-,-,-,-,"$4,78",$1.739.104,$1.859.736,0.94
3064.0,MetaCene  MAK,"$0,009073",1.2%,4.6%,65.8%,132.1%,$3.330.590,$1.738.304,$9.073.354,0.19
3065.0,Silly Dragon  SILLY,"$0,001737",0.6%,5.6%,23.5%,10.4%,$1.563.658,$1.736.890,$1.736.890,1.0
3066.0,ETHEREUM IS GOOD  EBULL,"$0,0001733",0.4%,5.3%,11.8%,85.7%,$140.544,$1.732.089,$1.732.089,1.0
3067.0,Suncat  SUNCAT,"$0,001727",0.1%,2.2%,20.5%,2.7%,$1.947.897,$1.726.800,$1.726.800,1.0
3068.0,Cyclix Games  CYG,"$0,1186",0.5%,3.9%,0.6%,36.0%,"$934,26",$1.723.131,$1.723.131,1.0
3069.0,AI ROCKET by Virtuals  ROCKET,"$0,002445",0.6%,4.2%,22.8%,371.5%,"$16.178,32",$1.722.136,$2.442.345,0.71
3071.0,Ramses Exchange  RAM,"$0,01107",0.6%,4.7%,9.5%,106.2%,"$9.956,87",$1.721.458,$8.992.078,0.19
3070.0,MuxyAI  MAI,"$0,002423",1.6%,4.7%,47.1%,-,$186.798,$1.720.238,$2.180.583,0.79
3072.0,SUI Agents  SUIAI,"$0,02575",2.5%,11.0%,22.5%,49.1%,"$59.671,89",$1.719.498,$1.719.498,1.0
3073.0,Wisdomise AI  WSDM,"$0,003524",0.4%,2.6%,1.8%,16.7%,$1.443.538,$1.719.285,$3.524.053,0.49
3079.0,CryoDAO  CRYO,"$0,5819",0.5%,2.3%,20.4%,43.8%,"$15.484,62",$1.718.276,$2.571.256,0.67
3075.0,Fuzion  FUZN,"$0,009819",1.4%,12.3%,4.5%,61.5%,"$308,80",$1.718.262,$1.718.262,1.0
3076.0,Revain  REV,$0.059303,0.0%,1.1%,5.7%,25.6%,"$0,1701",$1.716.959,$1.721.657,1.0
3077.0,MIAOCoin  MIAO,"$0,001717",0.3%,8.3%,18.0%,45.0%,"$47.147,94",$1.716.780,$1.716.780,1.0
3074.0,Bitrock  BROCK,"$0,01708",1.7%,5.0%,24.9%,15.1%,"$17.368,87",$1.715.644,$1.715.644,1.0
3090.0,IKUN  IKUN,"$0,001717",2.3%,17.1%,-,-,$5.507.479,$1.715.401,$1.715.401,1.0
3078.0,TOTO  TOTO,"$0,001732",1.2%,5.7%,11.9%,15.1%,"$14.625,09",$1.715.147,$1.715.147,1.0
3080.0,SKI MASK CAT  SKICAT,"$0,001730",0.2%,13.0%,13.7%,394.3%,"$36.122,40",$1.713.434,$1.713.434,1.0
3081.0,Seers  SEER,"$0,05029",-,1.0%,16.1%,30.0%,"$1,56",$1.710.013,$5.029.450,0.34
3082.0,Hemule  HEMULE,"$0,001743",0.2%,4.2%,2.2%,55.7%,$292.259,$1.707.742,$1.707.742,1.0
3083.0,Steakhouse USDC (Base) Morpho Vault  STEAKUSDC,"$1,05",0.0%,0.1%,0.1%,0.4%,"$0,00",$1.706.332,$1.706.332,1.0
3084.0,VinuChain  VC,"$0,01033",0.3%,2.3%,0.1%,9.8%,$220.537,$1.704.202,$10.031.627,0.17
3085.0,Kekius Maximus  KM,"$0,001706",1.8%,3.8%,6.3%,15.5%,$433.144,$1.702.382,$1.702.382,1.0
3086.0,HeadStarter  HST,"$0,009100",0.3%,2.3%,6.7%,16.9%,"$998,54",$1.698.417,$22.738.720,0.07
3087.0,Particl  PART,"$0,1134",0.0%,0.4%,50.0%,3.2%,"$3.208,79",$1.696.404,$1.696.875,1.0
3088.0,Bridged USD Coin (IoTeX)  IOUSDC,"$0,9750",4.9%,0.4%,4.1%,1.7%,"$6.109,61",$1.696.094,$1.696.094,1.0
3089.0,Aura Network  AURA,"$0,004268",1.1%,2.9%,4.0%,36.9%,"$58.557,45",$1.694.865,$4.267.738,0.4
3092.0,cr0w by Virtuals  CROW,"$0,001748",0.3%,1.0%,4.7%,84.7%,"$9.558,98",$1.691.364,$1.748.226,0.97
3094.0,Arcas  ARCAS,"$0,02435",0.5%,2.9%,2.0%,6.9%,"$26,31",$1.690.962,$2.421.576,0.7
3095.0,Orbofi AI  OBI,"$0,001451",0.1%,2.4%,8.9%,37.3%,$142.964,$1.687.001,$2.901.322,0.58
3093.0,Hex Orange Address  HOA,"$0,01122",1.2%,3.0%,8.4%,56.5%,"$1.511,18",$1.685.090,$1.685.090,1.0
3091.0,Veno ETH  VETH,"$2.526,66",0.3%,2.7%,2.3%,56.8%,"$18.532,47",$1.684.742,$1.684.742,1.0
3096.0,Quadrant Protocol  EQUAD,"$0,003095",0.1%,2.5%,3.0%,52.9%,"$368,45",$1.681.046,$3.094.806,0.54
3097.0,GoPulse  GO,"$0,09781",0.4%,0.8%,7.7%,-,"$13.638,82",$1.679.812,$1.679.812,1.0
3100.0,Safe Haven  SHA,"$0,0001974",0.5%,2.8%,2.6%,44.8%,"$450,44",$1.678.123,$1.678.123,1.0
3098.0,cloudyheart  CLOUDY,"$0,001674",1.4%,15.9%,25.9%,56.0%,$2.986.549,$1.674.464,$1.674.464,1.0
3099.0,Griffain New Hedge Fund  CITADAIL,"$0,001680",0.3%,2.5%,22.1%,17.0%,"$83.347,40",$1.672.315,$1.672.315,1.0
3101.0,Slam  SLAM,"$0,08143",-,-,-,-,"$571,70",$1.668.323,$61.476.684.367,
3102.0,Allbridge  ABR,"$0,08336",0.1%,2.2%,5.4%,2.9%,"$1.563,50",$1.667.683,$8.068.106,0.21
3103.0,Qmall  QMALL,"$0,02357",0.2%,251.2%,273.7%,34.9%,"$866,47",$1.665.748,$2.357.429,0.71
3104.0,TROY  TROY,"$0,0001666",0.1%,2.7%,16.6%,72.9%,$1.042.689,$1.665.562,$1.665.562,1.0
3107.0,Naked Jim  $JIM,"$0,001665",0.3%,1.6%,26.0%,31.3%,"$4.479,44",$1.665.171,$1.665.171,1.0
3105.0,BlockGames  BLOCK,"$0,002451",4.7%,5.8%,2.1%,2.5%,$142.975,$1.665.061,$2.451.060,0.68
3106.0,Big Data Protocol  BDP,"$0,06923",0.9%,8.1%,6.0%,27.3%,$289.146,$1.660.618,$4.462.599,0.37
3110.0,Brian  BRIAN,"$0,001707",0.4%,1.3%,14.8%,126.3%,"$18.873,66",$1.659.493,$1.659.493,1.0
3108.0,Equalizer on Sonic  EQUAL,"$1,53",0.1%,1.6%,7.0%,12.7%,"$10.089,96",$1.655.790,$7.687.555,0.22
3109.0,Vainguard  VAIN,"$0,001654",0.4%,4.1%,22.2%,54.5%,"$7.820,05",$1.653.291,$1.653.291,1.0
3113.0,888  888,"$0,01861",0.5%,2.3%,0.5%,22.3%,"$4.930,37",$1.653.249,$1.653.249,1.0
3111.0,Rake.com  RAKE,"$0,00002402",-,-,-,-,"$20,94",$1.650.745,$2.402.061,0.69
3112.0,Mystery  MYSTERY,$0.083923,2.0%,4.9%,22.3%,4.0%,$1.090.728,$1.650.408,$1.650.408,1.0
3114.0,Sage Universe  SAGE,"$0,001647",0.5%,6.6%,1.9%,41.8%,"$7.676,15",$1.641.375,$1.641.375,1.0
3115.0,Balanced  BALN,"$0,06227",0.1%,0.2%,2.7%,29.8%,"$377,45",$1.640.301,$1.640.301,1.0
3116.0,Skyhash  SKH,"$0,08306",0.3%,2.9%,16.6%,17.9%,$113.967,$1.637.720,$8.222.860,0.2
3117.0,E Money Network  EMYC,"$0,02124",0.4%,1.1%,20.3%,20.3%,$1.336.222,$1.637.712,$8.494.265,0.19
3119.0,Cod3x  CDX,"$0,03141",0.3%,6.4%,22.6%,28.4%,"$5.993,52",$1.636.083,$1.636.083,1.0
3122.0,TypeAI  TYPE,"$0,1720",0.6%,1.2%,8.9%,60.8%,"$2.358,95",$1.632.368,$1.718.282,0.95
3120.0,f(x) Protocol Morpho USDC  FXUSDC,"$1,03",0.0%,0.1%,0.1%,0.5%,"$0,00",$1.628.924,$1.628.924,1.0
